solver,instance,sense,timelimit,status,objval_reported,objbound,solvertime,totaltime,nodecount,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_psd_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_relaxation_status,conic_subproblem_time,conic_relaxation_time,mip_subproblem_time,iteration_count
PAJ_CPLEX_ECOS,multiportfolio_soc_a.cbf,Min,3600.0,Optimal,-0.08379543778289979,-0.08379543777054022,0.013527870178222656,0.013870954513549805,NaN,PAJ_CPLEX_ECOS.multiportfolio_soc_a.txt, ,1.8957621225890805e-13,1.8432443071869642e-11,-Inf,-Inf,-Inf,0.0, , ,2,2,0,Optimal,2.10e-03,1.59e-03,8.37e-03,2
PAJ_CPLEX_ECOS,multiportfolio_soc_b.cbf,Min,3600.0,Optimal,-0.11085020103752634,-0.11085052532898494,0.12508177757263184,0.12543797492980957,NaN,PAJ_CPLEX_ECOS.multiportfolio_soc_b.txt, ,2.220446049250313e-16,2.8329819863059935e-6,-Inf,-Inf,-Inf,0.0, , ,3,3,0,Optimal,7.53e-03,4.15e-03,1.11e-01,3
PAJ_CPLEX_ECOS,multiportfolio_soc_c.cbf,Min,3600.0,Optimal,-0.13387664222409293,-0.13387788611052223,2.3209869861602783,2.3214821815490723,NaN,PAJ_CPLEX_ECOS.multiportfolio_soc_c.txt, ,2.8915411731667007e-13,1.4146670640480252e-10,-Inf,-Inf,-Inf,0.0, , ,4,4,0,Optimal,2.57e-02,1.22e-02,2.26e+00,4
PAJ_CPLEX_ECOS,multiportfolio_soc_d.cbf,Min,3600.0,Optimal,-0.14740136778948065,-0.14740138594475125,1.3867390155792236,1.387326955795288,NaN,PAJ_CPLEX_ECOS.multiportfolio_soc_d.txt, ,2.220446049250313e-16,4.192267604591349e-8,-Inf,-Inf,-Inf,0.0, , ,4,4,0,Optimal,1.21e-01,4.41e-02,1.21e+00,4
PAJ_CPLEX_ECOS,multiportfolio_soc_e.cbf,Min,3600.0,Optimal,-0.148788356271866,-0.14878835602505575,0.56532883644104,0.5662388801574707,NaN,PAJ_CPLEX_ECOS.multiportfolio_soc_e.txt, ,1.764647455937407e-13,1.2435198704086048e-10,-Inf,-Inf,-Inf,0.0, , ,1,1,0,Optimal,1.34e-01,2.00e-01,2.07e-01,1
PAJ_CPLEX_ECOS,multiportfolio_soc_f.cbf,Min,3600.0,Optimal,-0.16999270620360615,-0.16999270205349792,9.148569107055664,9.150941133499146,NaN,PAJ_CPLEX_ECOS.multiportfolio_soc_f.txt, ,2.70984623629289e-13,6.976516309098457e-10,-Inf,-Inf,-Inf,0.0, , ,2,2,0,Optimal,1.21e+00,1.70e+00,6.15e+00,2
PAJ_CPLEX_MOSEK_msd,multiportfolio_soc_a.cbf,Min,3600.0,Optimal,-0.08379505525271139,-0.083795437351846,0.008655071258544922,0.009006023406982422,0,PAJ_CPLEX_MOSEK_msd.multiportfolio_soc_a.txt, ,4.642120021713936e-15,1.1861367728294159e-8,-Inf,-Inf,-Inf,0.0, , ,1,1,0,Optimal,1.11e-03,3.01e-03,4.01e-03, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_soc_b.cbf,Min,3600.0,Optimal,-0.11085042802196972,-0.11085059820388075,0.17128586769104004,0.17171597480773926,104,PAJ_CPLEX_MOSEK_msd.multiportfolio_soc_b.txt, ,6.938893903907228e-18,2.653957886518399e-6,-Inf,-Inf,-Inf,0.0, , ,5,5,0,Optimal,8.92e-03,4.87e-03,1.64e-01, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_soc_c.cbf,Min,3600.0,Optimal,-0.13387739557864314,-0.13387838531547552,1.222900152206421,1.2233951091766357,692,PAJ_CPLEX_MOSEK_msd.multiportfolio_soc_c.txt, ,6.938893903907228e-18,3.617310176499966e-6,-Inf,-Inf,-Inf,0.0, , ,14,14,0,Optimal,4.78e-02,8.13e-03,1.21e+00, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_soc_d.cbf,Min,3600.0,Optimal,-0.14739956517636238,-0.14740098707384114,0.4796130657196045,0.48023200035095215,20,PAJ_CPLEX_MOSEK_msd.multiportfolio_soc_d.txt, ,1.0408340855860843e-17,1.4414791734487786e-6,-Inf,-Inf,-Inf,0.0, , ,4,4,0,Optimal,2.28e-02,1.99e-02,4.52e-01, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_soc_e.cbf,Min,3600.0,Optimal,-0.14878836084911168,-0.14878831675043533,0.3549621105194092,0.3558840751647949,0,PAJ_CPLEX_MOSEK_msd.multiportfolio_soc_e.txt, ,1.3195694537060376e-13,4.90376056427877e-9,-Inf,-Inf,-Inf,0.0, , ,2,2,0,Optimal,2.59e-02,6.75e-02,2.62e-01, 
PAJ_CPLEX_MOSEK_msd,multiportfolio_soc_f.cbf,Min,3600.0,Optimal,-0.16999271687784068,-0.16999231698756606,1.6631779670715332,1.665842056274414,0,PAJ_CPLEX_MOSEK_msd.multiportfolio_soc_f.txt, ,4.939535573696294e-9,8.948242043171906e-9,-Inf,-Inf,-Inf,0.0, , ,1,1,0,Optimal,4.86e-02,3.11e-01,1.27e+00, 
PAJ_CPLEX_MOSEK,multiportfolio_soc_a.cbf,Min,3600.0,Optimal,-0.08379543951170158,-0.083795437351846,0.016633033752441406,0.01694798469543457,NaN,PAJ_CPLEX_MOSEK.multiportfolio_soc_a.txt, ,1.8381129951450248e-14,3.874200862896693e-9,-Inf,-Inf,-Inf,0.0, , ,2,2,0,Optimal,2.24e-03,2.93e-03,8.75e-03,2
PAJ_CPLEX_MOSEK,multiportfolio_soc_b.cbf,Min,3600.0,Optimal,-0.11085020311615268,-0.11085093516418543,0.1197359561920166,0.12011098861694336,NaN,PAJ_CPLEX_MOSEK.multiportfolio_soc_b.txt, ,9.950373858202965e-15,5.962267880799121e-9,-Inf,-Inf,-Inf,0.0, , ,3,3,0,Optimal,5.44e-03,4.93e-03,1.05e-01,3
PAJ_CPLEX_MOSEK,multiportfolio_soc_c.cbf,Min,3600.0,Optimal,-0.13387665056666642,-0.13387788784013074,2.262592077255249,2.263082981109619,NaN,PAJ_CPLEX_MOSEK.multiportfolio_soc_c.txt, ,2.248201624865942e-14,7.847877334099529e-9,-Inf,-Inf,-Inf,0.0, , ,4,4,0,Optimal,1.07e-02,7.95e-03,2.23e+00,4
PAJ_CPLEX_MOSEK,multiportfolio_soc_d.cbf,Min,3600.0,Optimal,-0.1474013619146936,-0.14740098707384114,0.24645400047302246,0.2470550537109375,NaN,PAJ_CPLEX_MOSEK.multiportfolio_soc_d.txt, ,6.869504964868156e-16,5.947753130286504e-9,-Inf,-Inf,-Inf,0.0, , ,2,2,0,Optimal,1.15e-02,2.02e-02,1.94e-01,2
PAJ_CPLEX_MOSEK,multiportfolio_soc_e.cbf,Min,3600.0,Optimal,-0.1487883606597577,-0.14878831675043533,2.307365894317627,2.308284044265747,NaN,PAJ_CPLEX_MOSEK.multiportfolio_soc_e.txt, ,6.224187831804784e-14,4.5082094654591565e-9,-Inf,-Inf,-Inf,0.0, , ,3,3,0,Optimal,3.91e-02,6.67e-02,2.16e+00,3
PAJ_CPLEX_MOSEK,multiportfolio_soc_f.cbf,Min,3600.0,Optimal,-0.16999270633777525,-0.16999231698756606,4.857332229614258,4.859665870666504,NaN,PAJ_CPLEX_MOSEK.multiportfolio_soc_f.txt, ,2.2224290140330503e-10,4.816110427130482e-10,-Inf,-Inf,-Inf,0.0, , ,2,2,0,Optimal,8.98e-02,3.00e-01,4.37e+00,2
PAJ_CPLEX_noconic_msd,multiportfolio_soc_a.cbf,Min,3600.0,Optimal,-0.08379652848349615,-0.0837957597179321,0.006371021270751953,0.006659984588623047,0,PAJ_CPLEX_noconic_msd.multiportfolio_soc_a.txt, ,2.220446049250313e-16,5.457855182480764e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,5.78e-03, 
PAJ_CPLEX_noconic_msd,multiportfolio_soc_b.cbf,Min,3600.0,Optimal,-0.11085106794155572,-0.11085073875941782,0.08851194381713867,0.08885884284973145,164,PAJ_CPLEX_noconic_msd.multiportfolio_soc_b.txt, ,3.469446951953614e-18,5.749422391898573e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,8.76e-02, 
PAJ_CPLEX_noconic_msd,multiportfolio_soc_c.cbf,Min,3600.0,Optimal,-0.13387854317188475,-0.13387878783083185,0.7908990383148193,0.7913539409637451,1141,PAJ_CPLEX_noconic_msd.multiportfolio_soc_c.txt, ,8.673617379884035e-18,5.422745451892641e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,7.89e-01, 
PAJ_CPLEX_noconic_msd,multiportfolio_soc_d.cbf,Min,3600.0,Optimal,-0.14740292924882853,-0.14740355498896188,0.10763907432556152,0.10822892189025879,0,PAJ_CPLEX_noconic_msd.multiportfolio_soc_d.txt, ,2.220446049250313e-16,4.690342818192139e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,1.03e-01, 
PAJ_CPLEX_noconic_msd,multiportfolio_soc_e.cbf,Min,3600.0,Optimal,-0.14879170906657846,-0.14878987620947154,0.42853713035583496,0.4294118881225586,0,PAJ_CPLEX_noconic_msd.multiportfolio_soc_e.txt, ,6.938893903907228e-18,8.032233910888753e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,4.10e-01, 
PAJ_CPLEX_noconic_msd,multiportfolio_soc_f.cbf,Min,3600.0,Optimal,-0.1700012170874922,-0.1699969094839511,2.2508668899536133,2.2534830570220947,0,PAJ_CPLEX_noconic_msd.multiportfolio_soc_f.txt, ,4.440892098500626e-16,7.447555960805874e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,2.20e+00, 
PAJ_CPLEX_noconic,multiportfolio_soc_a.cbf,Min,3600.0,Optimal,-0.08379647292670289,-0.08379647292670289,0.023771047592163086,0.02416706085205078,NaN,PAJ_CPLEX_noconic.multiportfolio_soc_a.txt, ,2.220446049250313e-16,5.435267746531358e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,2.16e-02,6
PAJ_CPLEX_noconic,multiportfolio_soc_b.cbf,Min,3600.0,Optimal,-0.11085078134313375,-0.11085103375994725,0.4486570358276367,0.44904017448425293,NaN,PAJ_CPLEX_noconic.multiportfolio_soc_b.txt, ,8.881784197001252e-16,5.4679922146597115e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,4.44e-01,9
PAJ_CPLEX_noconic,multiportfolio_soc_c.cbf,Min,3600.0,Optimal,-0.13387871993139003,-0.1338790464740161,5.127931118011475,5.12847113609314,NaN,PAJ_CPLEX_noconic.multiportfolio_soc_c.txt, ,6.938893903907228e-18,8.726322771122896e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,5.10e+00,10
PAJ_CPLEX_noconic,multiportfolio_soc_d.cbf,Min,3600.0,Optimal,-0.1474032601154015,-0.14740327927061228,1.0157129764556885,1.0162560939788818,NaN,PAJ_CPLEX_noconic.multiportfolio_soc_d.txt, ,6.938893903907228e-18,5.630293144695542e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,9.97e-01,10
PAJ_CPLEX_noconic,multiportfolio_soc_e.cbf,Min,3600.0,Optimal,-0.14878935257809714,-0.14878935257809714,5.72391414642334,5.724813938140869,NaN,PAJ_CPLEX_noconic.multiportfolio_soc_e.txt, ,6.938893903907228e-18,2.705662289201327e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,5.66e+00,11
PAJ_CPLEX_noconic,multiportfolio_soc_f.cbf,Min,3600.0,Optimal,-0.16999993422380025,-0.16999993422380025,23.17881202697754,23.181485891342163,NaN,PAJ_CPLEX_noconic.multiportfolio_soc_f.txt, ,4.440892098500626e-16,9.722401168456296e-6,-Inf,-Inf,-Inf,0.0, , ,0, , , ,0.00e+00,0.00e+00,2.30e+01,11
PAJ_CPLEX_SCS,multiportfolio_soc_a.cbf,Min,3600.0,Optimal,-0.08380526857949219,-0.0837378770245961,0.014245986938476562,0.01469111442565918,NaN,PAJ_CPLEX_SCS.multiportfolio_soc_a.txt, ,0.00015792232277993257,0.00016029123527843553,-Inf,-Inf,-Inf,0.0, , ,2,2,0,Optimal,2.14e-03,1.49e-03,9.03e-03,2
PAJ_CPLEX_SCS,multiportfolio_soc_b.cbf,Min,3600.0,Optimal,-0.11085022137424788,-0.1108293923217912,0.09849119186401367,0.09892702102661133,NaN,PAJ_CPLEX_SCS.multiportfolio_soc_b.txt, ,6.938893903907228e-18,7.906375408262001e-7,-Inf,-Inf,-Inf,0.0, , ,3,3,0,Optimal,1.10e-02,3.98e-03,8.05e-02,3
PAJ_CPLEX_SCS,multiportfolio_soc_c.cbf,Min,3600.0,Optimal,-0.13399199828950165,-0.13387806596218585,2.197222948074341,2.1977391242980957,NaN,PAJ_CPLEX_SCS.multiportfolio_soc_c.txt, ,0.00023739127321283776,0.00033771495190993567,-Inf,-Inf,-Inf,0.0, , ,4,4,0,Optimal,1.81e-02,5.23e-03,2.17e+00,4
PAJ_CPLEX_SCS,multiportfolio_soc_d.cbf,Min,3600.0,Optimal,-0.14742275636882737,-0.14730964675222433,0.10668516159057617,0.10730600357055664,NaN,PAJ_CPLEX_SCS.multiportfolio_soc_d.txt, ,0.0007980529158261099,9.669162691211541e-7,-Inf,-Inf,-Inf,0.0, , ,1,1,0,Optimal,2.09e-02,1.06e-02,5.89e-02,1
PAJ_CPLEX_SCS,multiportfolio_soc_e.cbf,Min,3600.0,Optimal,-0.14880415857323004,-0.14878954618035337,0.37732887268066406,0.3782079219818115,NaN,PAJ_CPLEX_SCS.multiportfolio_soc_e.txt, ,0.0007534370230823928,0.0,-Inf,-Inf,-Inf,0.0, , ,1,1,0,Optimal,6.78e-02,5.92e-02,2.25e-01,1
PAJ_CPLEX_SCS,multiportfolio_soc_f.cbf,Min,3600.0,Optimal,-0.17001047422731663,-0.16999439681222164,2.2357850074768066,2.2382118701934814,NaN,PAJ_CPLEX_SCS.multiportfolio_soc_f.txt, ,0.0011085452496433224,0.0,-Inf,-Inf,-Inf,0.0, , ,1,1,0,Optimal,2.60e-01,3.36e-01,1.56e+00,1
